key,rankings
282N00000X,"dict_items([(1164400131, 0.009259259259259271), (1962409987, 0.009259259259259271), (1821007881, 0.009259259259259271), (1487694857, 0.009259259259259271), (1265820179, 0.009259259259259271), (1023049236, 0.009259259259259271), (1568459287, 0.009259259259259271), (1780614685, 0.009259259259259271), (1861409823, 0.009259259259259271), (1679525919, 0.009259259259259271), (1548375082, 0.009259259259259271), (1295761963, 0.009259259259259271), (1578704938, 0.009259259259259271), (1578677811, 0.009259259259259271), (1265422901, 0.009259259259259271), (1851333686, 0.009259259259259271), (1497792568, 0.009259259259259271), (1790860856, 0.009259259259259271), (1972541498, 0.009259259259259271), (1629026364, 0.009259259259259271), (1205845567, 0.009259259259259271), (1437186111, 0.009259259259259271), (1497859649, 0.009259259259259271), (1568493641, 0.009259259259259271), (1558759498, 0.009259259259259271), (1497790042, 0.009259259259259271), (1467537506, 0.009259259259259271), (1174500458, 0.009259259259259271), (1013933175, 0.009259259259259271), (1265419907, 0.009259259259259271), (1609817220, 0.009259259259259271), (1598768780, 0.009259259259259271), (1780684431, 0.009259259259259271), (1548202641, 0.009259259259259271), (1134227606, 0.009259259259259271), (1467560599, 0.009259259259259271), (1174512792, 0.009259259259259271), (1831151257, 0.009259259259259271), (1841271459, 0.009259259259259271), (1285667493, 0.009259259259259271), (1467493551, 0.009259259259259271), (1134166192, 0.009259259259259271), (1407839921, 0.009259259259259271), (1407854771, 0.009259259259259271), (1912954553, 0.009259259259259271), (1477549756, 0.009259259259259271), (1699756221, 0.009259259259259271), (1497798847, 0.009259259259259271), (1346247368, 0.009259259259259271), (1790717650, 0.009259259259259271), (1154373843, 0.009259259259259271), (1427360981, 0.009259259259259271), (1194706655, 0.009259259259259271), (1235183328, 0.009259259259259271), (1649367269, 0.009259259259259271), (1811971302, 0.009259259259259271), (1265577191, 0.009259259259259271), (1003864810, 0.009259259259259271), (1043240682, 0.009259259259259271), (1811946734, 0.009259259259259271), (1275583726, 0.009259259259259271), (1285681908, 0.009259259259259271), (1629027578, 0.009259259259259271), (1255419651, 0.009259259259259271), (1578554630, 0.009259259259259271), (1770531600, 0.009259259259259271), (1972689172, 0.009259259259259271), (1558653212, 0.009259259259259271), (1013071653, 0.009259259259259271), (1033210166, 0.009259259259259271), (1639101751, 0.009259259259259271), (1144249657, 0.009259259259259271), (1538100029, 0.009259259259259271), (1316027709, 0.009259259259259271), (1629069638, 0.009259259259259271), (1104906569, 0.009259259259259271), (1174618953, 0.009259259259259271), (1134186315, 0.009259259259259271), (1609831247, 0.009259259259259271), (1376529743, 0.009259259259259271), (1164539730, 0.009259259259259271), (1073519443, 0.009259259259259271), (1184670549, 0.009259259259259271), (1124025176, 0.009259259259259271), (1184722779, 0.009259259259259271), (1336144732, 0.009259259259259271), (1508956509, 0.009259259259259271), (1932213600, 0.009259259259259271), (1376521575, 0.009259259259259271), (1902803315, 0.009259259259259271), (1356390264, 0.009259259259259271), (1700978558, 0.009259259259259271), (1265449870, 0.009259259259259271), (1669405072, 0.009259259259259271), (1710918545, 0.009259259259259271), (1508058009, 0.009259259259259271), (1225133473, 0.009259259259259271), (1124272547, 0.009259259259259271), (1548306343, 0.009259259259259271), (1154415024, 0.009259259259259271), (1902894512, 0.009259259259259271), (1477531580, 0.009259259259259271), (1144274879, 0.009259259259259271), (1144645573, 0.009259259259259271), (1154432458, 0.009259259259259271), (1598773715, 0.009259259259259271), (1013010917, 0.009259259259259271), (1417965559, 0.009259259259259271)])"
207R00000X,"dict_items([(1437117959, 0.0032894736842107443), (1003012618, 0.003752337551850949), (1003002379, 0.062236103188022904), (1235179540, 0.0032894736842107443), (1295765030, 0.0032894736842107443), (1760479786, 0.0032894736842107443), (1790884401, 0.0032894736842107443), (1902109762, 0.0032894736842107443), (1831136324, 0.006908917370512021), (1679606867, 0.0032894736842107443), (1689677908, 0.006173032581420198), (1639139413, 0.005498157094839262), (1134121049, 0.0032894736842107443), (1952459869, 0.0032894736842107443), (1174555742, 0.0032894736842107443), (1013154400, 0.0032894736842107443), (1861699696, 0.016971040366715172), (1457537649, 0.0032894736842107443), (1538241153, 0.012308264277610524), (1760463491, 0.0032894736842107443), (1225021587, 0.0032894736842107443), (1225204886, 0.049909729467512716), (1851477152, 0.0067865557510392305), (1619105962, 0.013596662933810493), (1154422442, 0.0032894736842107443), (1558322347, 0.0032894736842107443), (1952307886, 0.0032894736842107443), (1962766006, 0.008013602090277296), (1225155773, 0.0032894736842107443), (1700844222, 0.0032894736842107443), (1659450047, 0.0032894736842107443), (1093886657, 0.025008193888724498), (1275519175, 0.0032894736842107443), (1831187657, 0.004359372132362694), (1265605836, 0.0032894736842107443), (1881689297, 0.0032894736842107443), (1003000530, 0.021929824561403126), (1578654935, 0.013412605982924783), (1821098203, 0.006111680264458295), (1699976415, 0.0032894736842107443), (1922037472, 0.0032894736842107443), (1336364264, 0.0032894736842107443), (1205174505, 0.0032894736842107443), (1912011503, 0.0032894736842107443), (1215105267, 0.0032894736842107443), (1649292020, 0.0032894736842107443), (1679724801, 0.022063282674553146), (1508929290, 0.0032894736842107443), (1598846743, 0.0032894736842107443), (1598929176, 0.011019865621410555), (1043249949, 0.0032894736842107443), (1922234657, 0.0032894736842107443), (1134120231, 0.007584135871543974), (1457334062, 0.0032894736842107443), (1588605745, 0.0032894736842107443), (1710186291, 0.0099768762330582), (1447290168, 0.0032894736842107443), (1750338364, 0.0032894736842107443), (1003000126, 0.2839206356344315), (1841357118, 0.0032894736842107443), (1093798720, 0.0032894736842107443), (1093786436, 0.008197659041163005), (1083894604, 0.006234384898382102), (1245303122, 0.0032894736842107443), (1184898918, 0.0032894736842107443), (1104121193, 0.015621289393553303), (1700876653, 0.021929824561403126), (1548383086, 0.0051913955100297456), (1578555249, 0.0032894736842107443), (1063520120, 0.0032894736842107443), (1528391034, 0.0032894736842107443), (1780879742, 0.00825901135812491), (1699707281, 0.0032894736842107443), (1235295643, 0.0032894736842107443), (1326075292, 0.0032894736842107443), (1750547881, 0.0032894736842107443), (1174523823, 0.044886344584381156), (1518088111, 0.0032894736842107443), (1245417401, 0.00470057697433452), (1578540985, 0.0032894736842107443), (1730381252, 0.0032894736842107443), (1003002312, 0.0032894736842107443), (1881687499, 0.0032894736842107443), (1699767244, 0.0032894736842107443), (1326246349, 0.018320791339877046), (1750358990, 0.0032894736842107443), (1396902862, 0.004412487658157472), (1790857688, 0.009854171599134393), (1255345112, 0.0032894736842107443), (1982817755, 0.0032894736842107443), (1235236316, 0.0032894736842107443), (1669605341, 0.021327054871010304), (1225060833, 0.0032894736842107443), (1184667107, 0.0032894736842107443), (1760431076, 0.0032894736842107443), (1891964904, 0.0032894736842107443), (1114951662, 0.0060503279474963916), (1407005168, 0.0032894736842107443), (1265710065, 0.010283637817867716), (1972698611, 0.006663851117115424)])"
207RP1001X,"dict_items([(1932360963, 0.041666666666666644), (1093757445, 0.041666666666666644), (1568464006, 0.041666666666666644), (1003951625, 0.041666666666666644), (1801878806, 0.041666666666666644), (1801862693, 0.041666666666666644), (1558322347, 0.041666666666666644), (1578727343, 0.041666666666666644), (1336271667, 0.041666666666666644), (1144249657, 0.041666666666666644), (1225155773, 0.041666666666666644), (1265605836, 0.041666666666666644), (1124227020, 0.041666666666666644), (1750343505, 0.041666666666666644), (1497794648, 0.041666666666666644), (1982817755, 0.041666666666666644), (1306808159, 0.041666666666666644), (1275752677, 0.041666666666666644), (1417983461, 0.041666666666666644), (1699777128, 0.041666666666666644), (1124119144, 0.041666666666666644), (1215105267, 0.041666666666666644), (1174625396, 0.041666666666666644), (1437478138, 0.041666666666666644)])"
363A00000X,"dict_items([(1356695936, 0.055555555555555566), (1871770081, 0.055555555555555566), (1003000738, 0.055555555555555566), (1598023939, 0.055555555555555566), (1568501054, 0.055555555555555566), (1033469317, 0.055555555555555566), (1275872384, 0.055555555555555566), (1144249657, 0.055555555555555566), (1003975400, 0.055555555555555566), (1003251562, 0.055555555555555566), (1023416906, 0.055555555555555566), (1518071950, 0.055555555555555566), (1871826958, 0.055555555555555566), (1194056531, 0.055555555555555566), (1376961847, 0.055555555555555566), (1508058009, 0.055555555555555566), (1417082173, 0.055555555555555566), (1801175070, 0.055555555555555566)])"
293D00000X,"dict_items([(1255367843, 0.3333333333333333), (1427320399, 0.3333333333333333), (1013051119, 0.3333333333333333)])"
207L00000X,"dict_items([(1003000704, 0.0625), (1932360963, 0.0625), (1255393286, 0.0625), (1801124870, 0.0625), (1013902600, 0.0625), (1245260777, 0.0625), (1831117290, 0.0625), (1003000142, 0.0625), (1326018193, 0.0625), (1598784753, 0.0625), (1184710931, 0.0625), (1760701460, 0.0625), (1326136730, 0.0625), (1952381147, 0.0625), (1396717021, 0.0625), (1760560767, 0.0625)])"
367500000X,"dict_items([(1386071876, 0.0714285714285714), (1568626661, 0.0714285714285714), (1902072036, 0.0714285714285714), (1144536327, 0.0714285714285714), (1174500458, 0.0714285714285714), (1881634699, 0.0714285714285714), (1023029964, 0.0714285714285714), (1154349561, 0.0714285714285714), (1962740944, 0.0714285714285714), (1245584051, 0.0714285714285714), (1003859927, 0.0714285714285714), (1750312633, 0.0714285714285714), (1699909051, 0.0714285714285714), (1417234493, 0.0714285714285714)])"
207P00000X,"dict_items([(1881617025, 0.02127659574468086), (1326058629, 0.02127659574468086), (1417188491, 0.02127659574468086), (1619931532, 0.02127659574468086), (1497865364, 0.02127659574468086), (1679739288, 0.02127659574468086), (1932298791, 0.02127659574468086), (1497976112, 0.02127659574468086), (1578510897, 0.02127659574468086), (1609965490, 0.02127659574468086), (1023255858, 0.02127659574468086), (1144249657, 0.02127659574468086), (1790848190, 0.02127659574468086), (1316177728, 0.02127659574468086), (1952627523, 0.02127659574468086), (1164423364, 0.02127659574468086), (1861413700, 0.02127659574468086), (1952443848, 0.02127659574468086), (1437296969, 0.02127659574468086), (1821040072, 0.02127659574468086), (1548204233, 0.02127659574468086), (1578526026, 0.02127659574468086), (1790748234, 0.02127659574468086), (1336185040, 0.02127659574468086), (1255367892, 0.02127659574468086), (1285619924, 0.02127659574468086), (1649484890, 0.02127659574468086), (1669575643, 0.02127659574468086), (1083610976, 0.02127659574468086), (1740373729, 0.02127659574468086), (1063414753, 0.02127659574468086), (1295764579, 0.02127659574468086), (1619080165, 0.02127659574468086), (1376791269, 0.02127659574468086), (1922098151, 0.02127659574468086), (1174507370, 0.02127659574468086), (1548235757, 0.02127659574468086), (1295832814, 0.02127659574468086), (1114951662, 0.02127659574468086), (1477580660, 0.02127659574468086), (1285924597, 0.02127659574468086), (1720151798, 0.02127659574468086), (1326087925, 0.02127659574468086), (1538368246, 0.02127659574468086), (1053306746, 0.02127659574468086), (1417065467, 0.02127659574468086), (1275646333, 0.02127659574468086)])"
363L00000X,"dict_items([(1811942147, 0.11111111111111113), (1902983687, 0.11111111111111113), (1427064971, 0.11111111111111113), (1003000720, 0.11111111111111113), (1124079702, 0.11111111111111113), (1639101751, 0.11111111111111113), (1144249657, 0.11111111111111113), (1063471134, 0.11111111111111113), (1164735007, 0.11111111111111113)])"
363LP0808X,"dict_items([(1578822680, 0.3333333333333333), (1467426254, 0.3333333333333333), (1063471134, 0.3333333333333333)])"
