key,rankings
282N00000X,"[(1598773715, 1), (1144645573, 1), (1508058009, 304), (1538100029, 304), (1609831247, 304), (1841271459, 304), (1003864810, 304), (1033210166, 304), (1124025176, 304), (1124272547, 304), (1164539730, 304), (1184670549, 304), (1265577191, 304), (1376521575, 304), (1497859649, 304), (1508956509, 304), (1548306343, 304), (1548375082, 304), (1598768780, 304), (1609817220, 304), (1629026364, 304), (1770531600, 304), (1831151257, 304), (1932213600, 304), (1336144732, 9), (1407854771, 9), (1467493551, 9), (1497792568, 9), (1811971302, 9), (1912954553, 9), (1144249657, 71), (1265422901, 71), (1265449870, 71), (1285667493, 71), (1821007881, 71), (1972689172, 2), (1477531580, 17), (1154415024, 8), (1629027578, 8), (1285681908, 304), (1649367269, 304), (1700978558, 304), (1013933175, 24), (1164400131, 24), (1568459287, 24), (1669405072, 24), (1902803315, 4), (1295761963, 4), (1104906569, 269), (1205845567, 269), (1316027709, 269), (1568493641, 14), (1134166192, 3), (1134186315, 26), (1497798847, 26), (1154373843, 269), (1154432458, 269), (1174500458, 269), (1235183328, 269), (1699756221, 269), (1417965559, 269), (1013071653, 3), (1073519443, 269), (1174512792, 269), (1184722779, 269), (1194706655, 269), (1265820179, 269), (1407839921, 269), (1467537506, 269), (1558759498, 269), (1790860856, 269), (1861409823, 269), (1578554630, 10), (1437186111, 8), (1356390264, 65), (1467560599, 65), (1487694857, 65), (1710918545, 65), (1811946734, 65), (1972541498, 65), (1144274879, 304), (1265419907, 304), (1376529743, 304), (1578704938, 304), (1902894512, 14), (1780614685, 3), (1013010917, 57), (1225133473, 57), (1255419651, 57), (1275583726, 57), (1346247368, 57), (1629069638, 57), (1962409987, 57), (1679525919, 2), (1023049236, 36), (1134227606, 36), (1174618953, 36), (1427360981, 36), (1548202641, 36), (1578677811, 36), (1639101751, 36), (1790717650, 36), (1851333686, 36), (1043240682, 19), (1477549756, 19), (1497790042, 19), (1558653212, 19), (1780684431, 19)]"
363A00000X,"[(1508058009, 304), (1144249657, 71), (1003975400, 304), (1033469317, 304), (1376961847, 304), (1417082173, 304), (1518071950, 304), (1356695936, 304), (1598023939, 304), (1003000738, 3), (1003251562, 269), (1801175070, 269), (1871770081, 269), (1194056531, 304), (1568501054, 16), (1023416906, 19), (1275872384, 19), (1871826958, 19)]"
291U00000X,"[(1841271459, 304), (1124272547, 304), (1164539730, 304), (1548375082, 304), (1629026364, 304), (1407854771, 9), (1578898631, 304), (1932184322, 304), (1174762256, 304), (1710064811, 304), (1881630614, 304), (1497933162, 9), (1679518724, 9), (1255314704, 304), (1295879674, 304), (1700819794, 304), (1891731626, 304), (1205872041, 24), (1366479099, 269), (1821360017, 26), (1538144910, 269), (1750366753, 269), (1932166386, 269), (1235222001, 269), (1568454494, 269), (1659352276, 269), (1003810375, 269), (1174882948, 269), (1205090073, 269), (1538105366, 269), (1659390763, 269), (1699782722, 269), (1720342884, 269), (1740262880, 269), (1750348033, 269), (1801291414, 269), (1396746673, 10), (1295726032, 8), (1346233277, 8), (1619913449, 65), (1770688129, 65), (1386981835, 304), (1124085576, 14), (1346389764, 14), (1063497451, 57), (1093749087, 57), (1205063112, 57), (1225110497, 57), (1518155654, 57), (1588093165, 57), (1669515391, 57), (1932145778, 57), (1093733057, 36), (1194062448, 36), (1245494517, 36), (1306171673, 36), (1396942926, 36), (1043658966, 19), (1255388997, 19), (1265418669, 19), (1609812445, 19)]"
282NC2000X,"[(1164539730, 304), (1548375082, 304), (1013933175, 24)]"
273R00000X,"[(1164539730, 304), (1548375082, 304), (1972689172, 2), (1649367269, 304), (1013933175, 24), (1164400131, 24), (1669405072, 24), (1467537506, 269), (1790860856, 269), (1376529743, 304), (1164490660, 71)]"
273Y00000X,"[(1164539730, 304), (1548375082, 304), (1972689172, 2), (1487694857, 65), (1841248713, 10)]"
261QM1200X,"[(1548375082, 304), (1144279274, 36)]"
261QR0200X,"[(1548375082, 304), (1821007881, 71), (1578898631, 304)]"
261QR0206X,"[(1548375082, 304), (1578898631, 304)]"
261QR0404X,"[(1548375082, 304), (1649367269, 304), (1184722779, 269)]"
